competitie_naam,seizoen,genre,poule_naam,divisie,datum,tijd,sporthal,plaats_sporthal,thuisteam,thuisclub,plaats_thuisclub,uitteam,uitclub,plaats_uitclub,scheids1_hashed,scheids2_hashed,thuisscore,uitscore
Dames Floorball Competitie,2011,competitie,Play-offs eredivie dames,1,2012-05-27,09:45:00,Sporthallen Zuid,Amsterdam,UFC Utrecht 1,UFC Utrecht,Utrecht,FB Agents,Floorball Agents,Amsterdam,7ac8130b52c6f6ce2b283cf7c0bba49d,041b0d41cac9e4bae468c10a0d0c3e18,7,9
Dames Floorball Competitie,2012,competitie,Eredivisie Voorronde,1,2012-09-15,12:30:00,Amersfoort - Juliana van Stolberghal,Amersfoort,UFC Utrecht 2,UFC Utrecht,Utrecht,UFC Utrecht 1,UFC Utrecht,Utrecht,a4533cd1c4e13b6f7ad292e6d7abb34a,7d44fdb4cd369049c23112395b915226,2,10
Dames Floorball Competitie,2012,competitie,Eredivisie Voorronde,1,2012-09-29,12:30:00,Amersfoort - Juliana van Stolberghal,Amersfoort,UFC Utrecht 1,UFC Utrecht,Utrecht,UA Sonics 1,Sonics,Amersfoort,7d44fdb4cd369049c23112395b915226,384bf1cd70241d860239928266da7b5e,3,7
Dames Floorball Competitie,2012,competitie,Eredivisie Voorronde,1,2012-10-06,12:30:00,Amersfoort - ICOON,Amersfoort (Vathorst),UFC Utrecht 1,UFC Utrecht,Utrecht,Floorball Flames,Floorball Flames Nijmegen,Nijmegen,5e2176b3aa970e3a944ac7f7cf7f5178,7759438222ea3afbb225315e8649815c,5,3
Dames Floorball Competitie,2012,competitie,Eredivisie Voorronde,1,2012-11-10,12:30:00,Nijmegen - Meijhorst,Nijmegen,FB Agents,Floorball Agents,Amsterdam,UFC Utrecht 1,UFC Utrecht,Utrecht,47d4f1b75fb1cb6b3683ae567090ddad,1f4c8e76d4595df3dbf8795ab48d109b,8,2
Dames Floorball Competitie,2012,competitie,Eredivisie Voorronde,1,2012-11-17,14:15:00,Lewenborg,Groningen,UC Face Off 1,U.C. Face Off,Groningen,UFC Utrecht 1,UFC Utrecht,Utrecht,c42386b84ff1ede5be28aa82d9b5d7dc,685ffe06078db81b98e0fdaa36460cfb,3,6
Dames Floorball Competitie,2012,competitie,Eredivisie Voorronde,1,2012-11-24,10:45:00,Amersfoort - ICOON,Amersfoort (Vathorst),UFC Utrecht 1,UFC Utrecht,Utrecht,UA Sonics 2,Sonics,Amersfoort,d33ba14dbc58b3924b0db7f1e718ff24,d8c2dd1b714a575abbda11f756c77eb9,15,1
Dames Floorball Competitie,2012,competitie,Eredivisie Voorronde,1,2012-12-01,14:15:00,Leidschendam - De Fluit,Leidschendam,UFC Utrecht 1,UFC Utrecht,Utrecht,HDM Falcons,HSK Floorball,Den Haag,041623a4c1f3b09fbc8337c64d982faf,8ebc2a80369a88144caefe214a73aed0,8,5
Dames Floorball Competitie,2012,competitie,Eredivisie Voorronde,1,2012-12-15,14:15:00,Universitair Sportcentrum,Nijmegen,UFC Groningen,UFC Groningen,Groningen,UFC Utrecht 1,UFC Utrecht,Utrecht,7ac8130b52c6f6ce2b283cf7c0bba49d,dc862a8de4a2bcca095c554216a94c90,0,9
Dames Floorball Competitie,2012,competitie,Eredivisie Voorronde,1,2013-01-19,16:00:00,Amersfoort - Juliana van Stolberghal,Amersfoort,UFC Utrecht 1,UFC Utrecht,Utrecht,UC Face Off 2,U.C. Face Off,Groningen,beb489d31ce3439639ccf5b8f5367f8e,e8b586dae2dc4c685925de6bb697da45,10,0
Dames Floorball Competitie,2012,competitie,Eredivisie Bovenste Poule,1,2013-02-09,14:15:00,Amersfoort - ICOON,Amersfoort (Vathorst),UA Sonics 1,Sonics,Amersfoort,UFC Utrecht 1,UFC Utrecht,Utrecht,a86fc0259b7a07b0548b11403f2d6c65,3b8aff4f422864b873a9c726968110eb,5,5
Dames Floorball Competitie,2012,competitie,Eredivisie Bovenste Poule,1,2013-03-23,12:30:00,Lunetten Sporthal,Utrecht,UFC Utrecht 1,UFC Utrecht,Utrecht,FB Agents,Floorball Agents,Amsterdam,06bd1f981bcec6deb2475c2ee558ba5b,ff743efb856e8dbeb30da69083cdb7b4,7,7
Dames Floorball Competitie,2012,competitie,Eredivisie Bovenste Poule,1,2013-03-09,14:15:00,Leidschendam - De Fluit,Leidschendam,HDM Falcons,HSK Floorball,Den Haag,UFC Utrecht 1,UFC Utrecht,Utrecht,203a6531f2ea38f37bef001d49d5228a,041b0d41cac9e4bae468c10a0d0c3e18,5,6
Dames Floorball Competitie,2012,competitie,Eredivisie Bovenste Poule,1,2013-04-13,16:00:00,Lunetten Sporthal,Utrecht,UFC Utrecht 1,UFC Utrecht,Utrecht,UC Face Off 1,U.C. Face Off,Groningen,5820c4a1d4b37a97ea6f7e8b38baaa30,3ac3319d3042e6704211a5cbda7c3d83,4,4
Dames Floorball Competitie,2012,competitie,Eredivisie Play-offs,1,2013-04-20,11:00:00,Amsterdam - BL46,Amsterdam,UA Sonics 1,Sonics,Amersfoort,UFC Utrecht 1,UFC Utrecht,Utrecht,bc802ff6321cbbd91f6a779c128e384b,7652402bc75dd6aae83926565d619198,16,5
Dames Floorball Competitie,2012,competitie,Eredivisie Play-offs,1,2013-04-21,10:00:00,Amsterdam - BL46,Amsterdam,UC Face Off 1,U.C. Face Off,Groningen,UFC Utrecht 1,UFC Utrecht,Utrecht,9608e05bbec9f0e5009f1b795f221999,7652402bc75dd6aae83926565d619198,8,2
Dames Floorball Competitie,2013,competitie,Eredivisie,1,2013-09-21,10:30:00,Lunetten Sporthal,Utrecht,UFC Utrecht 1,UFC Utrecht,Utrecht,FB Agents,Floorball Agents,Amsterdam,041623a4c1f3b09fbc8337c64d982faf,8ebc2a80369a88144caefe214a73aed0,5,5
Dames Floorball Competitie,2013,competitie,Eredivisie,1,2013-10-05,14:10:00,Paperclip,Utrecht,UFC Utrecht 1,UFC Utrecht,Utrecht,HSK,HSK Floorball,Den Haag,3a6613ad8d40e153354e4d82b94a615b,4ff1bd958a437329aac4ab4eedb3f45e,2,10
Dames Floorball Competitie,2013,competitie,Eredivisie,1,2013-10-26,12:45:00,Paperclip,Utrecht,UC Face Off 1,U.C. Face Off,Groningen,UFC Utrecht 1,UFC Utrecht,Utrecht,041b0d41cac9e4bae468c10a0d0c3e18,70cbdd226f9d43bd37dddfabf156a7cb,2,1
Dames Floorball Competitie,2013,competitie,Eredivisie,1,2013-11-09,10:30:00,Lunetten Sporthal,Utrecht,UFC Utrecht 1,UFC Utrecht,Utrecht,Sonics,Sonics,Amersfoort,f8cd5ba4b8d3c0dade7c079fd87a3c3b,1f142fb403fbf225daab16e7619edff3,2,3
Dames Floorball Competitie,2013,competitie,Eredivisie,1,2013-11-30,12:15:00,Lunetten Sporthal,Utrecht,UFC Utrecht 1,UFC Utrecht,Utrecht,FB Agents,Floorball Agents,Amsterdam,f168b49418df8cdc224f3921a00f886d,0d34d370cc4421dd1f137d38da9543d3,3,8
Dames Floorball Competitie,2013,competitie,Eredivisie,1,2013-12-14,14:00:00,Lewenborg,Groningen,UFC Utrecht 1,UFC Utrecht,Utrecht,UC Face Off 1,U.C. Face Off,Groningen,5d30a3eca945d8eb914813f87b2a9689,c42386b84ff1ede5be28aa82d9b5d7dc,6,8
Dames Floorball Competitie,2013,competitie,Eredivisie,1,2014-01-04,16:15:00,Amersfoort - ICOON,Amersfoort (Vathorst),Sonics,Sonics,Amersfoort,UFC Utrecht 1,UFC Utrecht,Utrecht,94ee58db40b3bb140a1e2afb65748fa1,9608e05bbec9f0e5009f1b795f221999,3,9
Dames Floorball Competitie,2013,competitie,Eredivisie,1,2014-01-18,10:30:00,Roemer Visscher College,Den Haag,HSK,HSK Floorball,Den Haag,UFC Utrecht 1,UFC Utrecht,Utrecht,c8814c0df7ed6250568e36ad51010cde,72a7d561ab6cd29fbddd3565ad778de0,6,6
Dames Floorball Competitie,2013,competitie,Eredivisie,1,2014-03-08,11:30:00,Amersfoort - ICOON,Amersfoort (Vathorst),UFC Utrecht 1,UFC Utrecht,Utrecht,Sonics,Sonics,Amersfoort,c9725eee9c6751199b016a0f464ee4b3,492b1e577d5fd5add892c854adf60569,2,6
Dames Floorball Competitie,2013,competitie,Eredivisie,1,2014-03-15,10:30:00,Lewenborg,Groningen,UC Face Off 1,U.C. Face Off,Groningen,UFC Utrecht 1,UFC Utrecht,Utrecht,a7c03e28b1abf335193b3b20f3282837,84aa169e9435c767a39d0295cc0f2df4,2,2
Dames Floorball Competitie,2013,competitie,Eredivisie,1,2014-03-29,14:40:00,Lunetten Sporthal,Utrecht,HSK,HSK Floorball,Den Haag,UFC Utrecht 1,UFC Utrecht,Utrecht,d2a14989ad52baf47a7498ee33e4ab09,492b1e577d5fd5add892c854adf60569,2,7
Dames Floorball Competitie,2013,competitie,Eredivisie,1,2014-04-12,13:30:00,Amersfoort - ICOON,Amersfoort (Vathorst),FB Agents,Floorball Agents,Amsterdam,UFC Utrecht 1,UFC Utrecht,Utrecht,3b8aff4f422864b873a9c726968110eb,d1c255455b1a263ddbe344e18f837843,2,2
Dames Floorball Competitie,2014,competitie,Eredivisie,0,2014-10-04,16:30:00,Roemer Visscher College,Den Haag,HSK,HSK Floorball,Den Haag,UFC Utrecht 1,UFC Utrecht,Utrecht,4df967cb47517e3e8d46b5b4ecddbe4d,afcf89571b9759b1cb6193111f08763e,6,2
Dames Floorball Competitie,2014,competitie,Eredivisie,0,2014-09-20,10:15:00,Triangel,Lent (Nijmegen),UFC Utrecht 1,UFC Utrecht,Utrecht,Floorball Flames,Floorball Flames Nijmegen,Nijmegen,6e125fec181ed03e1532d994a2783b85,6726dc565f3cebd78423a258d2d5a2cd,9,1
Dames Floorball Competitie,2014,competitie,Eredivisie,0,2014-10-11,10:45:00,Bokkeduinen,Amersfoort,Sonics,Sonics,Amersfoort,UFC Utrecht 1,UFC Utrecht,Utrecht,4f872822235cd482aa202edcd5c94ab2,b6329eee7490b370812da813393a8f38,4,5
Dames Floorball Competitie,2014,competitie,Eredivisie,0,2014-10-25,10:45:00,Paperclip,Utrecht,FB Agents,Floorball Agents,Amsterdam,UFC Utrecht 1,UFC Utrecht,Utrecht,685ffe06078db81b98e0fdaa36460cfb,47d4f1b75fb1cb6b3683ae567090ddad,4,5
