competitie_naam,seizoen,genre,poule_naam,divisie,datum,tijd,sporthal,plaats_sporthal,thuisteam,thuisclub,plaats_thuisclub,uitteam,uitclub,plaats_uitclub,scheids1_hashed,scheids2_hashed,thuisscore,uitscore
Dames Floorball competitie,2009,competitie,Voorronde 1e divisie,1,2009-11-14,12:30:00,Lunetten Sporthal,Utrecht,UA Sonics,Sonics,Amersfoort,UC Face Off,U.C. Face Off,Groningen,b4a33c36406448d51a4dac9c5ff46f2f,c529f83cb2a5e5c413e281fda484171b,1,4
Dames Floorball competitie,2009,competitie,Voorronde 1e divisie,1,2009-11-21,17:45:00,Amersfoort - Juliana van Stolberghal,Amersfoort,UFC Utrecht 1,UFC Utrecht,Utrecht,UA Sonics,Sonics,Amersfoort,56d01f82d5e18271d4509ce89a1f2339,8c76698b23b8b80c24b7f12da58a9b5d,2,2
Dames Floorball competitie,2009,competitie,Voorronde 1e divisie,1,2009-11-28,10:45:00,Amersfoort - Midland,Amersfoort,HDM,HSK Floorball,Den Haag,UA Sonics,Sonics,Amersfoort,07c4d10eb37fb69772a0970c8b0a705a,7adfe943c89dced88eb9264427ee9685,2,2
Dames Floorball competitie,2009,competitie,Voorronde 1e divisie,1,2010-01-16,16:00:00,Amersfoort - Schuilenburghal,Amersfoort,UC Face Off,U.C. Face Off,Groningen,UA Sonics,Sonics,Amersfoort,a7c03e28b1abf335193b3b20f3282837,d2a14989ad52baf47a7498ee33e4ab09,0,4
Dames Floorball competitie,2009,competitie,Voorronde 1e divisie,1,2010-01-30,12:30:00,Sportcentrum Universiteit Twente,Enschede,Quick Feet,Quick Feet,Groningen,UA Sonics,Sonics,Amersfoort,9608e05bbec9f0e5009f1b795f221999,aa5e55e6a092b3a99ce9cca37fbb302e,4,11
Dames Floorball competitie,2009,competitie,Voorronde 1e divisie,1,2010-04-10,10:45:00,Amersfoort - Schuilenburghal,Amersfoort,Hot Shots 1,SUFV Hot Shots Nijmegen,Nijmegen,UA Sonics,Sonics,Amersfoort,8f46a42da25674f8c2fa91c6fc9690b2,89cf35bda722d3c994bd3d61de8e18be,0,4
Dames Floorball competitie,2009,competitie,Play-offs kamp.,1,2010-04-17,14:15:00,Universitair Sportcentrum,Delft,UA Sonics,Sonics,Amersfoort,HDM,HSK Floorball,Den Haag,782356bc86084494e137781fc42fc97a,06bd1f981bcec6deb2475c2ee558ba5b,2,8
Dames Floorball competitie,2009,competitie,Play-offs kamp.,1,2010-05-08,10:45:00,Amersfoort - Schuilenburghal,Amersfoort,UC Face Off,U.C. Face Off,Groningen,UA Sonics,Sonics,Amersfoort,1923d1e60f3d1ac9688e2e898ae49930,6986ab88aed566fc10b4ef22776a13a4,5,3
Dames NeFUB CUP,2009,beker,Poule 4,1,2009-09-20,18:55:00,Amersfoort - Schuilenburghal,Amersfoort,UA Sonics,Sonics,Amersfoort,Messed Up,Messed Up,Enschede,0b46d9f8b403ed4a88e45e5fa407eb61,7d44fdb4cd369049c23112395b915226,0,0
Dames Floorball Competitie,2010,competitie,1e divisie voorronde,1,2010-09-25,16:00:00,Groningen - HIS Groningen,Groningen,UFC Groningen,UFC Groningen,Groningen,UA Sonics,Sonics,Amersfoort,bc802ff6321cbbd91f6a779c128e384b,2c21fdc2bf2c518734fed1705e1e4ccd,1,3
